Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List
sel.2442.ch02.230221.163323.43.C.926.2442.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_33\Encounter5-sel-Channel0-20241107_204326.wav,43:26.1,43:26.7,5,2442,95703,null,null,null,null,null,null,Pc,7383.336914,4953.37793,0.663,7289.876953,7383.336914,2429.958984,0.556380175,0.101228202,5586.662625,504.5363755,5420.677734,6168.357422,0.393939394,1.490566038,0.987341772,5981.4375,5233.757813,5046.837891,747.6796875,0.525707484,0.522720256,0.58056522,0.59751718,0.570105762,1,0,1,80.75457454,17757.03367,29103.75977,-24353.98453,-1.195030724,0,0,1,2,1,0,13,11,3,6,5,4,36.8852459,47.54098361,15.57377049,28,0.058,0.005,11.6,0.022592593,0.016483697,0.012,42.23227753,1.508295626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.077333333,0.490666667,0.141333333,0,0.005333333,0.105333333,0.045333333,0.052,0.082666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.2445.ch02.230221.163327.64.C.929.2445.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_33\Encounter6-sel-Channel0-20241107_204428.wav,44:28.1,44:28.7,6,2445,95703,null,null,null,null,null,null,Pc,7570.256836,5046.837891,0.626,7570.256836,5607.597656,2523.418945,0.521787177,0.138932699,5497.50499,383.8178063,5420.677734,6308.547363,0.4,1.5,1.35,5701.057617,5420.677734,5140.297852,467.2998047,0.500580195,0.472339813,0.555677922,0.560987132,0.392531836,0,0,0,-2934.650381,16476.26458,23299.54208,-25234.18945,-0.923332296,0,0,1,2,1,0,10,12,4,3,2,5,36.60714286,47.32142857,16.07142857,28,0.054,0.005,10.8,0.020814815,0.013800884,0.02,44.7284345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.06,0.508,0.109333333,0,0.006666667,0.130666667,0.037333333,0.026666667,0.121333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1034.ch02.230221.150222.15.C.642.1924.F.wav,C:\Users\kepar\Desktop\trace_02132025\66_new_new\Encounter289-sel-Channel0-20250215_243128.wav,31:28.9,31:29.9,289,1924,95703,null,null,null,null,null,null,Pc,7944.09668,4953.37793,0.962,7944.09668,6635.657227,2990.71875,0.543820316,0.208506562,5586.427168,416.7862945,5607.597656,6448.737305,0.463768116,1.603773585,1.197183099,5794.517578,5701.057617,5140.297852,560.7597656,0.438951511,0.399804666,0.610044456,0.72881105,0.663565723,0,0,0,-1519.342487,15990.80152,24574.17571,-25014.49143,-0.982397575,0,0,1,2,1,0,23,24,5,5,4,6,38.88888889,49.38271605,11.72839506,52,0.097,0.004,24.25,0.017745098,0.016004803,0.011,54.05405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.076,0.481333333,0.108,0,0.006666667,0.117333333,0.056,0.044,0.110666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
