Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List
sel.14.ch02.241003.154313.86.C.14.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter3-sel-Channel0-20241003_154313.wav,43:13.0,43:13.1,3,14a,95703,null,null,null,null,null,null,Ambig,8411.396484,7944.09668,0.096,7944.09668,8317.936523,467.2998047,0.622403461,0.205425579,8327.774414,107.4438989,8317.936523,8177.746582,0.057142857,1.058823529,0.95505618,8317.936523,8411.396484,8411.396484,93.45996094,0.516859895,0.781161625,0.713496412,0.442019023,0.037383984,0,0,0,3894.165039,11855.56912,23624.60124,-17913.15918,-1.31884058,2,1,0,0,0,1,1,1,2,0,1,1,45,35,20,3,0.032,0.005,6.4,0.0185,0.019091883,0.0185,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.116,0.365333333,0.037333333,0,0.04,0.198666667,0.172,0.049333333,0.021333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.18.ch02.241003.164336.92.C.9.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter5-sel-Channel0-20241003_164336.wav,43:36.0,43:36.1,5,9a,95703,null,null,null,null,null,null,Ambig,8598.316406,7383.336914,0.053,7383.336914,8598.316406,1214.979492,0.768582178,0.208393738,8122.520241,324.9788317,8131.016602,7990.82666,0.152046784,1.164556962,0.858695652,7944.09668,8131.016602,8317.936523,327.1098633,0.957017058,0.773307162,0.64507028,0.66411023,0.037383984,0,0,0,23364.99023,23364.99023,29206.23779,0,0,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.086666667,0.190666667,0.088,0,0.034666667,0.165333333,0.249333333,0.166666667,0.018666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.59.ch02.241003.154440.37.C.59.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter7-sel-Channel0-20241003_154440.wav,44:40.1,44:40.1,7,59a,95703,null,null,null,null,null,null,Ambig,8411.396484,7383.336914,0.086,7383.336914,8317.936523,1028.05957,0.638639991,0.170937238,8202.485983,252.7945352,8317.936523,7897.366699,0.130177515,1.139240506,0.887640449,8037.556641,8317.936523,8317.936523,93.45996094,0.503853777,0.716379312,0.783555263,0.584468167,0.037383984,0,0,0,9930.12085,19276.11694,33378.55748,-18691.99219,-1.785714286,2,1,0,2,1,0,1,1,1,0,0,1,53.33333333,26.66666667,20,3,0.021,0.011,1.909090909,0.016,0.007071068,0.016,34.88372093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.098666667,0.325333333,0.065333333,0,0.066666667,0.116,0.217333333,0.098666667,0.012,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.142.ch02.241001.152430.86.C.71.U.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter27-sel-Channel0-20241001_152403.wav,24:03.0,24:03.1,27,71a,95703,null,null,null,null,null,null,Ambig,8785.236328,7476.796875,0.064,7476.796875,8785.236328,1308.439453,0.738345578,0.256986876,8109.448918,310.3326854,8131.016602,8131.016602,0.16091954,1.175,0.85106383,7944.09668,8131.016602,8317.936523,280.3798828,0.806847081,0.729786025,0.691918727,0.701996643,0.074767969,0,0,0,20768.88021,20768.88021,41537.76042,0,0,2,1,0,2,1,0,1,0,3,0,3,0,64.70588235,17.64705882,17.64705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.165333333,0.233333333,0.12,0,0.036,0.085333333,0.170666667,0.173333333,0.016,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.157.ch02.241003.183417.16.C.74.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter37-sel-Channel0-20241003_183401.wav,34:01.0,34:01.1,37,74a,95703,null,null,null,null,null,null,Ambig,8504.856445,7663.716797,0.096,7663.716797,8504.856445,841.1396484,0.525037021,0.294775535,8150.692383,151.2747859,8131.016602,8084.286621,0.104046243,1.109756098,0.901098901,8224.476563,8131.016602,8131.016602,93.45996094,0.647571165,0.671646048,0.367907854,0.385019514,0.04672998,0,0,0,9692.144097,11769.03212,38630.11719,-18691.99219,-2.066666667,2,1,0,2,1,0,1,0,1,1,1,1,42.85714286,31.42857143,25.71428571,3,0.048,0.017,2.823529412,0.0325,0.02192031,0.0325,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.192,0.325333333,0.062666667,0,0.044,0.104,0.172,0.084,0.016,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.222.ch02.241003.164648.88.C.111.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter43-sel-Channel0-20241003_164604.wav,46:04.0,46:04.1,43,111a,95703,null,null,null,null,null,null,Ambig,8691.776367,7944.09668,0.112,7944.09668,8691.776367,747.6796875,0.477915063,0.231214949,8198.987482,166.1426125,8177.746582,8317.936523,0.08988764,1.094117647,0.913978495,8224.476563,8131.016602,8131.016602,93.45996094,0.389922054,0.593335981,0.527802572,0.395114064,0.093459961,0,0,0,6601.536923,13425.59756,23364.99023,-17913.15918,-1.304347826,2,1,0,2,1,0,2,2,1,0,0,1,60,30,10,5,0.027,0.01,2.7,0.0175,0.008346656,0.0165,44.64285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.081333333,0.353333333,0.017333333,0,0.085333333,0.094666667,0.286666667,0.077333333,0.004,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.482.ch02.241003.170858.49.C.240.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter51-sel-Channel0-20241003_170805.wav,08:05.1,08:05.2,51,240a,95703,null,null,null,null,null,null,Ambig,8598.316406,7757.176758,0.075,7757.176758,8598.316406,841.1396484,0.771296128,0.229264863,8193.323242,195.6184716,8224.476563,8177.746582,0.102857143,1.108433735,0.902173913,8224.476563,8224.476563,8224.476563,140.1899414,0.464617983,0.7449302,0.922415144,1.013862873,0.028037988,0,0,0,11126.18583,16021.70759,31672.54232,-17134.32617,-1.848484848,2,1,0,2,1,0,1,1,1,1,0,2,47.36842105,36.84210526,15.78947368,3,0.032,0.011,2.909090909,0.0215,0.014849242,0.0215,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.1,0.237333333,0.036,0,0.156,0.142666667,0.189333333,0.118666667,0.02,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.486.ch02.241003.170901.29.C.242.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter53-sel-Channel0-20241003_170900.wav,09:00.1,09:00.1,53,242a,95703,null,null,null,null,null,null,Ambig,8878.696289,7850.636719,0.053,7850.636719,8878.696289,1028.05957,1.006372542,0.147899925,8207.483842,315.053464,8131.016602,8364.666504,0.122905028,1.130952381,0.884210526,8037.556641,8131.016602,8224.476563,280.3798828,1.143226627,1.018645549,0.890546254,0.956421337,0.056075977,0,0,0,19626.5918,19626.5918,32710.98633,0,0,2,1,0,2,1,0,1,0,1,0,1,0,81.81818182,9.090909091,9.090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.1,0.205333333,0.076,0,0.082666667,0.097333333,0.290666667,0.126666667,0.021333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.492.ch02.241003.145747.97.C.259.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter55-sel-Channel0-20241003_145704.wav,57:04.1,57:04.2,55,259a,95703,null,null,null,null,null,null,Ambig,8224.476563,7663.716797,0.171,7663.716797,8131.016602,560.7597656,0.395987457,0.133403443,8133.848722,100.4554611,8131.016602,7944.09668,0.070588235,1.073170732,0.942528736,8224.476563,8131.016602,8131.016602,0,0.501411092,0.325736035,0.346493877,0.39713087,0.009345996,0,0,0,2725.915527,3699.456787,34268.65234,-15576.66016,-2.2,2,1,0,1,0,0,0,0,1,1,0,2,34.93975904,33.73493976,31.3253012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.066666667,0.308,0.069333333,0,0.024,0.372,0.130666667,0.012,0.017333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.500.ch02.241003.170913.22.C.249.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample18\Encounter57-sel-Channel0-20241003_170901.wav,09:01.1,09:01.1,57,249a,95703,null,null,null,null,null,null,Ambig,8504.856445,7757.176758,0.059,7757.176758,8504.856445,747.6796875,0.614012173,0.135866927,8208.899902,202.5510386,8271.206543,8131.016602,0.091954023,1.096385542,0.912087912,8037.556641,8317.936523,8317.936523,140.1899414,0.572103976,0.645922157,0.64648905,0.601248277,0.018691992,0,0,0,13027.75213,16426.29616,32399.45313,-18691.99219,-1.733333333,2,1,0,0,0,1,1,1,1,0,0,1,50,31.25,18.75,3,0.011,0.005,2.2,0.008,0.004242641,0.008,50.84745763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.106666667,0.32,0.045333333,0,0.128,0.094666667,0.204,0.088,0.013333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
