Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List,
sel.781.ch02.241003.155055.66.C.391.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample10\Encounter37-sel-Channel0-20241003_155005.wav,50:05.1,50:05.3,37,391,95703,null,null,null,null,null,null,Ambig,8504.856445,6355.277344,0.235,7663.716797,8504.856445,2149.579102,0.765894494,0.208629023,7007.420182,593.6024941,6822.577148,7430.066895,0.289308176,1.338235294,0.901098901,6355.277344,6542.197266,7289.876953,934.5996094,0.927678245,0.720115386,0.593916122,0.80716061,0.242995898,0,0,0,3191.192389,20608.73056,24933.25262,-38318.58398,-0.650683037,0,0,1,2,1,0,2,2,2,1,2,1,67.5,25,7.5,4,0.166,0.005,33.2,0.064333333,0.088455262,0.022,17.0212766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.076,0.282666667,0.108,0,0.022666667,0.138666667,0.189333333,0.06,0.122666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.785.ch02.241003.155056.35.C.393.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample10\Encounter38-sel-Channel0-20241003_155005.wav,50:05.0,50:05.3,38,393,95703,null,null,null,null,null,null,Ambig,8878.696289,6355.277344,0.272,7944.09668,8878.696289,2523.418945,0.641905016,0.134005047,7257.525428,778.844285,7196.416992,7616.986816,0.331288344,1.397058824,0.894736842,6355.277344,7009.49707,7850.636719,1401.899414,0.706789061,0.70278663,0.623580004,0.520103976,0.271033887,0,0,0,3359.671798,18875.24701,22679.61719,-43960.79644,-0.515905512,0,0,1,2,1,0,2,1,2,2,3,1,57.37704918,26.2295082,16.39344262,4,0.177,0.005,35.4,0.066,0.096286032,0.016,14.70588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.078666667,0.24,0.12,0,0.024,0.12,0.174666667,0.074666667,0.168,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.837.ch02.241003.155110.17.C.419.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample10\Encounter40-sel-Channel0-20241003_155101.wav,51:01.1,51:01.4,40,419,95703,null,null,null,null,null,null,Ambig,8411.396484,6355.277344,0.257,8037.556641,8411.396484,2056.119141,0.711837395,0.279845625,7085.790916,630.0388772,6916.037109,7383.336914,0.278481013,1.323529412,0.955555556,6448.737305,6822.577148,7663.716797,1028.05957,0.634209966,0.636855599,0.551707115,1.031045855,0.289725879,0,0,0,1947.08252,19081.40869,26562.30469,-34268.65234,-0.775119617,0,0,1,1,0,0,4,4,3,1,3,1,56.25,35.41666667,8.333333333,8,0.085,0.006,14.16666667,0.029,0.029074617,0.016,31.12840467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.058666667,0.268,0.137333333,0,0.026666667,0.185333333,0.145333333,0.061333333,0.117333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.211.ch02.241003.154731.29.C.211.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample10\Encounter16-sel-Channel0-20241003_154703.wav,47:03.0,47:03.3,16,211_possreclassify,95703,null,null,null,null,null,null,Ambig,8224.476563,6261.817383,0.223,7663.716797,8224.476563,1962.65918,0.622374656,0.14659506,6972.547783,622.667806,6822.577148,7243.146973,0.270967742,1.313432836,0.931818182,6355.277344,6635.657227,7663.716797,1308.439453,0.59675263,0.708732145,0.566309933,0.617236842,0.233649902,0,0,0,1833.171569,23312.0084,27792.04102,-37587.96445,-0.739386701,0,0,1,2,1,0,2,3,2,0,1,1,55.26315789,34.21052632,10.52631579,6,0.129,0.005,25.8,0.0374,0.052242703,0.011,26.9058296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.073333333,0.330666667,0.133333333,0,0.014666667,0.144,0.112,0.078666667,0.113333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.212.ch02.241003.154731.65.C.212.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter1-sel-Channel0-20241003_154703.wav,47:03.0,47:03.2,1,212,95703,null,null,null,null,null,null,Ambig,8504.856445,6168.357422,0.208,7757.176758,8504.856445,2336.499023,0.508939278,0.126428517,7133.331519,793.708056,6962.76709,7336.606934,0.318471338,1.378787879,0.912087912,6261.817383,6729.117188,7570.256836,1425.264404,0.557969038,0.539616228,0.532914098,0.388289828,0.233649902,0,0,0,3674.494191,22526.247,25545.72266,-40845.46441,-0.625423729,0,0,1,2,1,0,1,1,0,1,0,1,68.57142857,25.71428571,5.714285714,2,0.139,0.139,1,0.139,0,0.139,9.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.066666667,0.172,0.121333333,0,0.022666667,0.144,0.168,0.041333333,0.264,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.239.ch02.241003.154751.95.C.239.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter2-sel-Channel0-20241003_154705.wav,47:05.0,47:05.2,2,239,95703,null,null,null,null,null,null,Ambig,8317.936523,6355.277344,0.149,7850.636719,8317.936523,1962.65918,0.743889708,0.234198803,7102.957031,629.4314515,6916.037109,7336.606934,0.267515924,1.308823529,0.943820225,6448.737305,6729.117188,7570.256836,1028.05957,0.749278595,0.857042372,0.886969651,0.481498374,0.205611914,0,0,0,3894.165039,24143.82324,28037.98828,-47249.20247,-0.593406593,0,0,1,2,1,0,1,1,1,1,1,1,59.375,28.125,12.5,2,0.096,0.096,1,0.096,0,0.096,13.42281879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.06,0.174666667,0.165333333,0,0.012,0.222666667,0.213333333,0.038666667,0.113333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.240.ch02.241003.154752.23.C.240.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter3-sel-Channel0-20241003_154705.wav,47:05.0,47:05.2,3,240,95703,null,null,null,null,null,null,Ambig,8504.856445,6355.277344,0.155,7757.176758,8504.856445,2149.579102,0.482202261,0.102802413,7137.225684,706.8795638,6962.76709,7430.066895,0.289308176,1.338235294,0.912087912,6355.277344,6542.197266,7663.716797,1261.709473,0.502372597,0.4587985,0.436120984,0.531978883,0.233649902,0,0,0,4726.710668,22989.00189,23639.87247,-37829.03181,-0.624913495,0,0,1,2,1,0,1,0,0,1,1,0,61.76470588,29.41176471,8.823529412,2,0.097,0.097,1,0.097,0,0.097,12.90322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.053333333,0.148,0.118666667,0,0.018666667,0.249333333,0.193333333,0.053333333,0.165333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1039.ch02.241003.155258.91.C.520.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter4-sel-Channel0-20250214_191031.wav,10:31.4,10:31.6,4,520,95703,null,null,null,null,null,null,Ambig,8504.856445,6168.357422,0.209,7850.636719,8504.856445,2336.499023,0.68754663,0.213356118,6939.4021,658.7401696,6775.847168,7336.606934,0.318471338,1.378787879,0.923076923,6168.357422,6542.197266,7289.876953,1051.424561,0.500341423,0.760299332,0.708021764,0.812766511,0.289725879,0,0,0,3931.252325,23867.09503,27103.38867,-38874.89328,-0.697195192,0,0,1,2,1,0,2,1,1,1,2,0,68.57142857,25.71428571,5.714285714,4,0.112,0.021,5.333333333,0.051666667,0.052252592,0.022,19.13875598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.068,0.288,0.096,0,0.022666667,0.088,0.218666667,0.069333333,0.149333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1041.ch02.241003.155259.34.C.521.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter5-sel-Channel0-20250214_191110.wav,11:10.3,11:10.4,5,521,95703,null,null,null,null,null,null,Ambig,8504.856445,6261.817383,0.144,7476.796875,8504.856445,2243.039063,0.701635968,0.219574772,7012.834926,702.8427232,6822.577148,7383.336914,0.303797468,1.358208955,0.879120879,6355.277344,6542.197266,7289.876953,1051.424561,0.721769637,0.727161444,0.501663983,0.878312004,0.252341895,0,0,0,7384.490741,24230.36024,26675.03052,-37903.20638,-0.703767123,0,0,1,2,1,0,1,0,0,1,1,0,63.33333333,30,6.666666667,2,0.091,0.091,1,0.091,0,0.091,13.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.049333333,0.172,0.133333333,0,0.018666667,0.181333333,0.226666667,0.04,0.178666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.3484.ch02.241003.154117.02.C.1757.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter9-sel-Channel0-20250214_191519.wav,15:19.6,15:19.9,9,1757,95703,null,null,null,null,null,null,Ambig,8785.236328,6074.897461,0.326,7757.176758,8785.236328,2710.338867,0.544375599,0.13395035,7029.093514,830.8001174,6869.307129,7430.066895,0.364779874,1.446153846,0.882978723,6168.357422,6635.657227,7663.716797,1448.629395,0.559935643,0.615336137,0.451433553,0.545029026,0.299071875,0,0,0,2936.583472,17645.03634,27293.01758,-37383.98438,-0.730072464,0,0,1,2,1,0,6,6,5,0,5,0,57.14285714,30,12.85714286,12,0.075,0.005,15,0.026272727,0.029172216,0.011,36.80981595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.092,0.301333333,0.142666667,0,0.017333333,0.088,0.144,0.064,0.150666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.3506.ch02.241003.154122.01.C.1767.F.wav,C:\Users\kepar\Desktop\trace_02132025\4ib_new\Encounter10-sel-Channel0-20250214_191553.wav,15:53.2,15:53.5,10,1767,95703,null,null,null,null,null,null,Ambig,8411.396484,6074.897461,0.251,8037.556641,8411.396484,2336.499023,0.661702875,0.140803158,7011.444153,747.0554284,6822.577148,7243.146973,0.322580645,1.384615385,0.955555556,6168.357422,6729.117188,7383.336914,1238.344482,0.594366964,0.6449959,0.71349719,0.703004584,0.299071875,0,0,0,1609.746034,18578.36306,23721.02818,-39876.25,-0.594866071,0,0,1,2,1,0,1,1,3,1,3,1,61.11111111,29.62962963,9.259259259,2,0.182,0.182,1,0.182,0,0.182,7.96812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.105333333,0.196,0.088,0,0.009333333,0.12,0.16,0.042666667,0.278666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1105.ch02.241003.155356.23.C.553.F.wav,C:\Users\kepar\Desktop\replacement_traces\Encounter52-sel-Channel0-20241112_170134.wav,01:34.4,01:34.7,52,553,95703,null,null,null,null,null,null,Ambig,8411.396484,6074.897461,0.342,7383.336914,8411.396484,2336.499023,0.780115454,0.181198221,6985.053696,735.9558246,6729.117188,7243.146973,0.322580645,1.384615385,0.877777778,6168.357422,6635.657227,7476.796875,1214.979492,0.830737026,0.790546032,0.693956321,0.802058591,0.317763867,0,0,0,3056.224169,13375.76152,20223.98239,-25401.9381,-0.79615903,0,0,1,2,1,0,3,3,6,2,6,2,58.66666667,29.33333333,12,8,0.118,0.005,23.6,0.039,0.044616888,0.017,23.39181287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.076,0.358666667,0.053333333,0,0.02,0.132,0.192,0.068,0.1,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
