CallType_1,CallType_2,n,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12
2,_mean,82,8227.4199695122,4954.74466463415,0.642792682926829,5004.7637195122,8225.99085365854,3272.67530487805,1.0721042555122,0.18550390002439,6752.42283126829,561.626713898781,6782.58384146341,6591.08231707317,0.495959124670732,1.66365402385366,0.609521293353658,6772.5800304878,6755.4306402439,6816.88262195122,201.505335365854,1.01502005468293,1.02478646532927,1.07139387602439,1.17990054715854,0.514481707317073,0,0,0,5036.26035523171,17152.7944767317,33182.059914878,-29908.4072634146,-1.11238466121951,1.63414634146341,0.768292682926829,0.134146341463415,1.91463414634146,0.926829268292683,0.0121951219512195,14.4756097560976,13.4878048780488,8.92682926829268,4.91463414634146,9.29268292682927,4.70731707317073,50.1042199729268,33.2772851652439,16.6184948615854,36.5243902439024,0.0833414634146342,0.00979268292682927,19.1686691271463,0.0237974457073171,0.0177983094756098,0.0185182926829268,56.6895491661342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923252032560976,0.477772357719512,0.198601625987805,0,0.00995121947560976,0.0894634146707317,0.0707967479390244,0.0182439024512195,0.0428455284756098,0
2,_SD,82,363.529823148159,205.279035385849,0.0590387480639618,227.389985572404,366.641800651202,436.840900402614,0.18261860283021,0.0477895517995949,64.1273021229354,91.8438211604968,62.1470172838826,198.593087184314,0.0592750526667572,0.106798004009207,0.0374692190982639,103.739039039841,76.7499459663329,93.5415761311963,77.0859511887925,0.180489751208062,0.183513718893058,0.182440261113749,0.215000456823816,0.0843366070560041,0,0,0,539.948062430141,3457.52931355351,2101.80599069398,1948.96238673709,0.0793081478160431,0.711669834704567,0.424519495627729,0.342906787246237,0.32207734337567,0.262019121198305,0.110431526074847,5.25691927281476,5.29207164373698,2.6563712731584,2.321138606891,3.04488157801734,2.51655165240276,4.38624073751374,1.90495340632894,4.71150777572446,11.031073517883,0.044714242079516,0.0289813638735705,8.77091444666822,0.0369834022206178,0.0159553022746843,0.0379017121605793,15.3988973575446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124524859257313,0.0828139017609194,0.0537460991883286,0,0.00462922131292803,0.0137316787314869,0.0177105020469568,0.0072483002584945,0.019168747067861,0
2,_CV,82,0.0441851545800831,0.0414308000271104,0.0918472621610136,0.0454347094720721,0.0445711412976027,0.133481283569893,0.170336608488663,0.257620199862706,0.00949693224570928,0.163531788797798,0.00916273484213557,0.0301305730425927,0.119516003876549,0.0641948400796829,0.0614731913500573,0.0153175065592202,0.011361221815988,0.013722045885018,0.382550422542584,0.177818901582633,0.179075080616033,0.170283091210795,0.182219134775032,0.163925375492559,NaN,NaN,NaN,0.107212102700219,0.201572362931519,0.063341636899148,-0.0651643656438085,-0.0712956143507923,0.435499451087869,0.552549184785298,2.55621423219922,0.168218739852261,0.282704841292908,9.05538513813742,0.363157018004053,0.392359742121548,0.29757164535381,0.472291230186258,0.327664421781393,0.534604237038929,0.0875423415409678,0.0572448562696619,0.283509897554885,0.302019375113993,0.536518561679882,2.95949170315415,0.457565122987438,1.55409125313169,0.896450435169077,2.04671741663978,0.271635558653266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.134876344557724,0.173333388637643,0.270622654376601,NaN,0.465191359136854,0.153489320545455,0.250159824603956,0.397299880213401,0.447392009151502,NaN
2,_min,82,7382.8125,4570.3125,0.52,4570.3125,7382.8125,2460.9375,0.707250352,0.074358281,6597.828585,398.2824764,6679.6875,6035.15625,0.365217391,1.446808511,0.526315789,6562.5,6562.5,6679.6875,117.1875,0.654518713,0.595367456,0.651061012,0.718768723,0.3046875,0,0,0,4008.374183,5461.516204,27929.6875,-35807.29167,-1.316164561,0,0,0,0,0,0,1,0,2,0,4,0,40.8,28.68852459,7,3,0.034,0.003,1.095808383,0.010732143,0.007067187,0.0085,4.329004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.274666667,0.029333333,0,0.001333333,0.054666667,0.026666667,0,0.014666667,0
2,_max,82,9257.8125,5507.8125,0.791,5507.8125,9257.8125,4570.3125,1.403715191,0.369016391,6926.832933,971.2749596,6914.0625,7089.84375,0.655462185,1.975,0.691176471,7031.25,6914.0625,7031.25,468.75,1.341215311,1.40571715,1.419940712,1.491788923,0.75,0,0,0,6453.804348,23586.9194,38105.86735,-23437.5,-0.9,2,1,1,2,1,1,28,26,17,12,17,10,60.6557377,37.80487805,29.06666667,59,0.326,0.167,47.33333333,0.2355,0.127986327,0.2355,82.48914616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122666667,0.76,0.306666667,0,0.02,0.126666667,0.122666667,0.034666667,0.12,0
51.1,_mean,95,7322.36842105263,5145.14802631579,0.308568421052632,5288.24013157895,7319.90131578947,2177.22039473684,1.07704751524211,0.188049230378947,6463.23664514737,438.433503246316,6603.2072368421,6233.75822368421,0.349049851642105,1.42782330168421,0.724358168989474,6429.27631578947,6663.65131578947,6637.74671052632,256.887335526316,1.04893925957895,1.04452487196842,1.10437788194737,1.11419096471579,0.2625,0.0631578947368421,0,0.0631578947368421,7051.13159691579,20714.3535913474,36843.5573796842,-31395.5836477895,-1.18732373244211,1.37894736842105,0.673684210526316,0.294736842105263,1.76842105263158,0.863157894736842,0.0947368421052632,7.4,6.73684210526316,3.09473684210526,1.81052631578947,3.31578947368421,1.63157894736842,54.3418013051579,31.9836773076842,13.6745213870526,17.2421052631579,0.0639157894736842,0.00669473684210526,12.9571604452316,0.0214644809473684,0.0186185207157895,0.0157578947368421,55.299134518021,0.271198863421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114750877263158,0.444014035105263,0.199059649115789,0,0.0179087719368421,0.0678596491368421,0.0821473684631579,0.0191578947368421,0.0551017543684211,0
51.1,_SD,95,476.129319124605,378.024117350894,0.0939007684276875,459.699690426956,476.113169457881,475.735110748176,0.152201503275264,0.0702695084832856,353.725282917913,102.724922421012,386.317498046798,358.077794640838,0.0761486971693335,0.109230495531174,0.0661554707921351,378.23153354394,391.890185852532,400.848677617595,122.628574553716,0.19637917438201,0.172494004153652,0.158426263723245,0.170833823689408,0.0871838269215998,0.244537179690206,0,0.244537179690206,2207.98447042559,6023.80394536968,4555.86268499101,4185.86684051706,0.17812020184037,0.913014033221846,0.471351728974886,0.458343089244298,0.609370648116657,0.345503835486592,0.294404708078621,4.44684923120926,4.34719407257041,1.90784318577302,1.5998320180576,2.17462717711853,1.36874403975345,8.38642751296814,4.24236780527506,7.81186853308559,8.7296459793609,0.041103311239471,0.00724359391845948,7.6838097939505,0.0179336992647772,0.0211454732549369,0.0141097263793257,20.3398170097239,1.08635666617956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312287740378235,0.107966634326075,0.0739297151968144,0,0.00993530397438256,0.0256917340173007,0.0478319733528507,0.0171953621209636,0.0272249656937846,0
51.1,_CV,95,0.0650239501410063,0.0734719614319007,0.304311011824736,0.0869286717299088,0.0650436595956391,0.218505720366301,0.141313638554796,0.373676129073658,0.0547288150409118,0.234299891911545,0.0585045242698681,0.0574417200334104,0.21815994709951,0.0765014098049315,0.0913297780356729,0.0588295657187811,0.0588101278534714,0.0603892698981596,0.477363254605261,0.187216917079487,0.16514111705984,0.143452948771384,0.153325443392897,0.332128864463237,3.87183867842825,NaN,3.87183867842825,0.31313902457747,0.290803375485774,0.123654256239196,-0.133326613305747,-0.150018227525874,0.662109413405156,0.699662722697097,1.55509262422173,0.344584592685014,0.400278833795442,3.10760525194099,0.600925571785035,0.64528662014717,0.616479940981079,0.883628149508556,0.655839942305587,0.838907637268241,0.154327374351725,0.132641652317315,0.571271806301174,0.506298148986133,0.643085403120841,1.08198336832335,0.593016488946716,0.835505843758869,1.13572251940534,0.895406817659281,0.367814382395,4.00575670736839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.272144098438626,0.243160408883199,0.37139478304722,NaN,0.554773046941513,0.378601044127006,0.582270305765215,0.897560110709641,0.494085279240896,NaN
51.1,_min,95,5039.0625,3632.8125,0.128,3632.8125,5039.0625,585.9375,0.572647424,0.042131987,4822.998047,145.424257,4804.6875,4746.09375,0.12345679,1.131578947,0.615384615,4804.6875,4921.875,4687.5,0,0.499281213,0.545719723,0.511974585,0.539745028,0.05859375,0,0,0,-987.293956,4150.390625,27343.75,-56640.625,-1.765432099,0,0,0,0,0,0,0,0,0,0,0,0,38.46153846,20,0,3,0.018,0.003,1.166666667,0.008909091,0.003535534,0.008,9.036144578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030666667,0.22,0.036,0,0.001333333,0.02,0.005333333,0,0.001333333,0
51.1,_max,95,7968.75,6210.9375,0.601,7500,7968.75,3164.0625,1.30810844,0.376052604,6854.643486,615.3752327,6914.0625,6855.46875,0.5,1.666666667,1.015873016,6914.0625,7031.25,7148.4375,644.53125,1.356183079,1.357847387,1.380541937,1.391015016,0.48046875,1,0,1,12536.33721,32379.15039,47334.55882,-23437.5,-0.55862069,2,1,1,2,1,1,18,16,10,6,9,5,74.28571429,43.47826087,29.91452991,38,0.341,0.043,37.88888889,0.129666667,0.183633693,0.109,90.65155807,5.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222666667,0.852,0.361333333,0,0.061333333,0.168,0.236,0.142666667,0.128,0
