Hour,Mean_Call_rate_per_minute,Speed_average,Depth_average
0,27.5860953920776,1.61471459395937,16.1966058502835
1,24.25,1.33574083040742,12.0341167382038
2,9.99166666666667,1.26361640185306,10.6030415742117
3,3.175,1.78324081444126,8.17111501161677
4,1.39166666666667,1.53689753751228,6.75894850833987
5,0.00833333333333333,1.07836781813637,10.6806132865071
6,0.733333333333333,1.06124043893771,11.2175655863361
7,0.183333333333333,1.01995860309191,7.79350947863158
8,0.0833333333333333,1.18985700942469,10.1905944582558
9,0,1.31236099015292,11.319928373032
10,0,1.04310172881295,8.03026082600897
11,0,1.20150979107294,9.51913242226153
12,0.166666666666667,1.27620333662834,9.89336137005723
13,0,1.62692921927827,11.4876832877239
14,0,1.64582448292354,11.2543488531232
15,0,3.08429963874237,3.83610318295821
16,0,3.35607272092723,6.00550211299459
