Classification,Occurrences,perc_callcat_tag4,perc_callcat_all_tag4
1,3,0.000973078170613039,0.000505050505050505
2,3,0.000973078170613039,0.000505050505050505
4,13,0.0042166720726565,0.00218855218855219
5,12,0.00389231268245216,0.00202020202020202
8,68,0.0220564385338956,0.0114478114478114
10,138,0.0447615958481998,0.0232323232323232
11,5,0.00162179695102173,0.000841750841750842
12,3,0.000973078170613039,0.000505050505050505
13,1,0.000324359390204346,0.000168350168350168
15,15,0.0048653908530652,0.00252525252525253
16,81,0.0262731106065521,0.0136363636363636
17,8,0.00259487512163477,0.00134680134680135
18,7,0.00227051573143042,0.00117845117845118
19,10,0.00324359390204346,0.00168350168350168
20,8,0.00259487512163477,0.00134680134680135
22,5,0.00162179695102173,0.000841750841750842
23,7,0.00227051573143042,0.00117845117845118
25,2,0.000648718780408693,0.000336700336700337
28,1780,0.577359714563737,0.2996632996633
29,101,0.032760298410639,0.017003367003367
30,5,0.00162179695102173,0.000841750841750842
31,17,0.00551410963347389,0.00286195286195286
32,10,0.00324359390204346,0.00168350168350168
33,57,0.0184884852416477,0.0095959595959596
35,29,0.00940642231592605,0.00488215488215488
36,58,0.0188128446318521,0.00976430976430976
37,31,0.0100551410963347,0.00521885521885522
38,104,0.033733376581252,0.0175084175084175
39,126,0.0408692831657477,0.0212121212121212
40,46,0.0149205319493999,0.00774410774410774
41,4,0.00129743756081739,0.000673400673400673
42,23,0.00746026597469997,0.00387205387205387
43,4,0.00129743756081739,0.000673400673400673
44,13,0.0042166720726565,0.00218855218855219
45,18,0.00583846902367824,0.00303030303030303
46,10,0.00324359390204346,0.00168350168350168
47,21,0.00681154719429127,0.00353535353535354
48,4,0.00129743756081739,0.000673400673400673
49,7,0.00227051573143042,0.00117845117845118
50,10,0.00324359390204346,0.00168350168350168
52,4,0.00129743756081739,0.000673400673400673
399,210,0.0681154719429127,0.0353535353535354
3199,2,0.000648718780408693,0.000336700336700337
