Classification,Occurrences,perc_callcat_tag2,perc_callcat_all_tag2
1,652,0.274873524451939,0.10976430976431
2,87,0.0366779089376054,0.0146464646464646
2.1,127,0.0535413153456998,0.0213804713804714
3,16,0.00674536256323777,0.00269360269360269
4,7,0.00295109612141653,0.00117845117845118
5,3,0.00126475548060708,0.000505050505050505
6,41,0.0172849915682968,0.0069023569023569
7,140,0.0590219224283305,0.0235690235690236
8,5,0.0021079258010118,0.000841750841750842
9,23,0.0096964586846543,0.00387205387205387
10,4,0.00168634064080944,0.000673400673400673
13,76,0.0320404721753794,0.0127946127946128
14,3,0.00126475548060708,0.000505050505050505
15,422,0.177908937605396,0.071043771043771
16,3,0.00126475548060708,0.000505050505050505
17,5,0.0021079258010118,0.000841750841750842
21,13,0.00548060708263069,0.00218855218855219
22,10,0.00421585160202361,0.00168350168350168
24,12,0.00505902192242833,0.00202020202020202
25,35,0.0147554806070826,0.00589225589225589
26,3,0.00126475548060708,0.000505050505050505
27,8,0.00337268128161889,0.00134680134680135
28,18,0.0075885328836425,0.00303030303030303
29,4,0.00168634064080944,0.000673400673400673
31,29,0.0122259696458685,0.00488215488215488
32,4,0.00168634064080944,0.000673400673400673
33,2,0.000843170320404722,0.000336700336700337
34,44,0.0185497470489039,0.00740740740740741
35,318,0.134064080944351,0.0535353535353535
47,1,0.000421585160202361,0.000168350168350168
48,1,0.000421585160202361,0.000168350168350168
52,1,0.000421585160202361,0.000168350168350168
199,21,0.00885328836424958,0.00353535353535354
299,9,0.00379426644182125,0.00151515151515152
399,211,0.0889544688026981,0.0355218855218855
1599,10,0.00421585160202361,0.00168350168350168
3199,4,0.00168634064080944,0.000673400673400673
