Hour,Mean_Call_rate_per_minute,Speed_average,Depth_average
0,17.8477801268499,1.28912862081613,17.4636780058937
1,12,2.26375415005886,4.30497001229887
2,13.2833333333333,2.57369647077796,2.04488116382294
3,5.90833333333333,3.12579555930933,1.54266201124614
4,4.05,1.33712318305547,8.69519882716957
5,0.233333333333333,1.22325628688804,8.00900892479438
6,0.383333333333333,0.972960451382497,8.42340089036049
7,0,1.00192809364504,11.0148807664788
8,0,0.882628022968385,11.9666314604251
9,0,1.33035725961307,9.22918838915738
10,0,1.12891590709713,8.13502211628381
11,0,1.24803439743578,13.0408843956301
12,0,1.05226925406951,11.7874938676914
13,0,1.66960226112121,6.80714698943382
