Row,All,Tag 1,Tag 2,Tag 3,Tag 4
Secondary Sidebands - num,226,4,209,0,13
Secondary Sidebands - perc,0.038047,0.010753,0.088111,0,0.0042167
Chaos - num,104,2,51,6,45
Chaos - perc,0.017508,0.0053763,0.021501,0.053097,0.014596
Frequency Jump - num,413,NA,2,21,390
Frequency Jump - perc,0.069529,NA,0.00084317,0.18584,0.1265
Biphonation - num,4629,301,1671,99,2558
Biphonation - perc,0.77929,0.80914,0.70447,0.87611,0.82971
